"","species","time","allN","newN","relNew"
"224","DM",1998 May,99,40,0.404040404040404
"225","DM",1998 Jun,33,8,0.242424242424242
"226","DM",1998 Jul,34,6,0.176470588235294
"227","DM",1998 Aug,29,4,0.137931034482759
"228","DM",1998 Sep,30,8,0.266666666666667
"229","DM",1998 Oct,35,9,0.257142857142857
"230","DM",1998 Nov,44,15,0.340909090909091
"231","DM",1998 Dec,46,7,0.152173913043478
"232","DM",1999 Jan,47,3,0.0638297872340425
"233","DM",1999 Feb,49,9,0.183673469387755
"234","DM",1999 Mar,43,3,0.0697674418604651
"235","DM",1999 Apr,47,11,0.234042553191489
"236","DM",1999 May,36,5,0.138888888888889
"237","DM",1999 Jun,30,6,0.2
"238","DM",1999 Sep,3,1,0.333333333333333
"239","DM",1999 Oct,16,9,0.5625
"240","DM",1999 Nov,18,10,0.555555555555556
"241","DM",1999 Dec,11,3,0.272727272727273
"242","DM",2000 Jan,19,12,0.631578947368421
"243","DM",2000 Feb,19,5,0.263157894736842
"244","DM",2000 Mar,23,14,0.608695652173913
"245","DM",2000 Apr,20,8,0.4
"246","DM",2000 Jun,18,6,0.333333333333333
"247","DM",2000 Jul,29,11,0.379310344827586
"248","DM",2000 Aug,25,12,0.48
"249","DM",2000 Sep,15,4,0.266666666666667
"250","DM",2000 Oct,14,4,0.285714285714286
"251","DM",2000 Nov,26,6,0.230769230769231
"252","DM",2000 Dec,23,3,0.130434782608696
"253","DM",2001 Jan,24,7,0.291666666666667
"254","DM",2001 Mar,46,11,0.239130434782609
"255","DM",2001 Apr,26,10,0.384615384615385
"256","DM",2001 May,32,10,0.3125
"257","DM",2001 Jun,15,8,0.533333333333333
"258","DM",2001 Jul,15,6,0.4
"259","DM",2001 Aug,31,14,0.451612903225806
"260","DM",2001 Sep,35,11,0.314285714285714
"261","DM",2001 Oct,37,9,0.243243243243243
"262","DM",2001 Nov,31,7,0.225806451612903
"263","DM",2001 Dec,10,1,0.1
"264","DM",2002 Jan,10,1,0.1
"265","DM",2002 Feb,29,4,0.137931034482759
"266","DM",2002 Mar,35,12,0.342857142857143
"267","DM",2002 Apr,32,8,0.25
"268","DM",2002 May,33,7,0.212121212121212
"269","DM",2002 Jun,23,5,0.217391304347826
"270","DM",2002 Jul,19,0,0
"271","DM",2002 Sep,13,6,0.461538461538462
"272","DM",2002 Oct,21,7,0.333333333333333
"273","DM",2002 Nov,21,6,0.285714285714286
"274","DM",2002 Dec,43,12,0.27906976744186
"275","DM",2003 Feb,30,9,0.3
"276","DM",2003 Mar,59,11,0.186440677966102
"277","DM",2003 May,54,7,0.12962962962963
"278","DM",2003 Jun,24,2,0.0833333333333333
"279","DM",2003 Jul,23,3,0.130434782608696
"280","DM",2003 Aug,23,4,0.173913043478261
"281","DM",2003 Sep,18,2,0.111111111111111
"282","DM",2003 Oct,18,4,0.222222222222222
"283","DM",2003 Nov,15,2,0.133333333333333
"284","DM",2003 Dec,26,7,0.269230769230769
"285","DM",2004 Jan,22,3,0.136363636363636
"286","DM",2004 Feb,22,7,0.318181818181818
"287","DM",2004 Mar,19,5,0.263157894736842
"288","DM",2004 Apr,14,6,0.428571428571429
"289","DM",2004 May,22,7,0.318181818181818
"290","DM",2004 Jun,20,8,0.4
"291","DM",2004 Jul,20,5,0.25
"292","DM",2004 Aug,14,4,0.285714285714286
"293","DM",2004 Sep,7,2,0.285714285714286
"294","DM",2004 Oct,13,5,0.384615384615385
"295","DM",2004 Nov,2,0,0
"296","DM",2004 Dec,21,12,0.571428571428571
"297","DM",2005 Jan,11,2,0.181818181818182
"298","DM",2005 Mar,14,2,0.142857142857143
"299","DM",2005 Apr,13,2,0.153846153846154
"300","DM",2005 May,14,5,0.357142857142857
"301","DM",2005 Jun,15,6,0.4
"302","DM",2005 Jul,12,3,0.25
"303","DM",2005 Aug,16,6,0.375
"304","DM",2005 Sep,22,4,0.181818181818182
"305","DM",2005 Oct,7,2,0.285714285714286
"306","DM",2005 Nov,20,10,0.5
"307","DM",2005 Dec,17,1,0.0588235294117647
"308","DM",2006 Jan,29,3,0.103448275862069
"309","DM",2006 Mar,37,10,0.27027027027027
"310","DM",2006 Apr,23,8,0.347826086956522
"311","DM",2006 May,19,7,0.368421052631579
"312","DM",2006 Jun,8,2,0.25
"313","DM",2006 Jul,16,7,0.4375
"314","DM",2006 Aug,9,3,0.333333333333333
"315","DM",2006 Sep,7,2,0.285714285714286
"316","DM",2006 Oct,17,6,0.352941176470588
"317","DM",2006 Nov,16,4,0.25
"318","DM",2006 Dec,23,8,0.347826086956522
"319","DM",2007 Jan,6,2,0.333333333333333
"320","DM",2007 Feb,20,6,0.3
"321","DM",2007 Mar,16,6,0.375
"322","DM",2007 Apr,24,8,0.333333333333333
"323","DM",2007 May,19,3,0.157894736842105
"324","DM",2007 Jun,26,7,0.269230769230769
"325","DM",2007 Jul,21,2,0.0952380952380952
"326","DM",2007 Aug,5,2,0.4
"327","DM",2007 Sep,25,1,0.04
"328","DM",2007 Oct,31,9,0.290322580645161
"329","DM",2007 Nov,32,10,0.3125
"330","DM",2007 Dec,37,6,0.162162162162162
"331","DM",2008 Jan,33,5,0.151515151515152
"332","DM",2008 Feb,40,5,0.125
"333","DM",2008 Mar,39,5,0.128205128205128
"334","DM",2008 Apr,36,3,0.0833333333333333
"335","DM",2008 May,40,4,0.1
"336","DM",2008 Jun,82,15,0.182926829268293
"337","DM",2008 Jul,24,2,0.0833333333333333
"338","DM",2008 Aug,12,1,0.0833333333333333
"339","DM",2008 Sep,13,4,0.307692307692308
"340","DM",2008 Oct,15,4,0.266666666666667
"341","DM",2008 Nov,21,4,0.19047619047619
"342","DM",2008 Dec,22,4,0.181818181818182
"343","DM",2009 Jan,19,2,0.105263157894737
"344","DM",2009 Feb,25,6,0.24
"345","DM",2009 Mar,20,5,0.25
"346","DM",2009 Apr,16,4,0.25
"347","DM",2009 May,20,8,0.4
"348","DM",2009 Jun,14,3,0.214285714285714
"349","DM",2009 Jul,15,0,0
"350","DM",2009 Aug,14,0,0
"351","DM",2009 Sep,13,5,0.384615384615385
"352","DM",2009 Oct,10,4,0.4
"353","DM",2009 Nov,10,1,0.1
"354","DM",2009 Dec,10,5,0.5
"355","DM",2010 Jan,11,2,0.181818181818182
"356","DM",2010 Feb,13,4,0.307692307692308
"357","DM",2010 Mar,12,3,0.25
"358","DM",2010 Apr,16,10,0.625
"359","DM",2010 May,21,11,0.523809523809524
"360","DM",2010 Jul,15,8,0.533333333333333
"361","DM",2010 Sep,15,11,0.733333333333333
"362","DM",2010 Nov,18,7,0.388888888888889
"363","DM",2011 Jan,23,13,0.565217391304348
"364","DM",2011 Feb,20,5,0.25
"365","DM",2011 Mar,19,11,0.578947368421053
"366","DM",2011 Apr,21,6,0.285714285714286
"367","DM",2011 May,35,13,0.371428571428571
"368","DM",2011 Jul,11,2,0.181818181818182
"369","DM",2011 Aug,32,16,0.5
"370","DM",2011 Oct,32,10,0.3125
"371","DM",2011 Dec,12,6,0.5
"372","DM",2012 Jan,32,19,0.59375
"373","DM",2012 Feb,28,10,0.357142857142857
"374","DM",2012 Mar,29,8,0.275862068965517
"375","DM",2012 Apr,31,17,0.548387096774194
"376","DM",2012 May,30,11,0.366666666666667
"377","DM",2012 Jun,49,22,0.448979591836735
"378","DM",2012 Jul,50,22,0.44
"379","DM",2012 Aug,49,11,0.224489795918367
"380","DM",2012 Sep,44,10,0.227272727272727
"381","DM",2012 Oct,47,5,0.106382978723404
"382","DM",2012 Nov,47,7,0.148936170212766
"383","DM",2012 Dec,63,20,0.317460317460317
"384","DM",2013 Jan,48,9,0.1875
"385","DM",2013 Feb,49,10,0.204081632653061
"386","DM",2013 Mar,55,15,0.272727272727273
"387","DM",2013 Apr,54,15,0.277777777777778
"388","DM",2013 May,50,16,0.32
"389","DM",2013 Jul,38,11,0.289473684210526
"390","DM",2013 Sep,39,26,0.666666666666667
"391","DM",2013 Nov,45,21,0.466666666666667
"392","DM",2013 Dec,52,21,0.403846153846154
"393","DM",2014 Feb,66,37,0.560606060606061
"394","DM",2014 Mar,108,44,0.407407407407407
"395","DM",2014 Apr,51,21,0.411764705882353
"396","DM",2014 May,19,6,0.315789473684211
"397","DM",2014 Jun,72,27,0.375
"398","DM",2014 Aug,80,20,0.25
"399","DM",2014 Sep,36,11,0.305555555555556
"400","DM",2014 Oct,39,9,0.230769230769231
"401","DM",2014 Nov,35,6,0.171428571428571
"402","DM",2014 Dec,14,3,0.214285714285714
"403","DM",2015 Jan,48,23,0.479166666666667
"404","DM",2015 Feb,50,16,0.32
"405","DM",2015 Mar,42,18,0.428571428571429
"406","DM",2015 Apr,25,13,0.52
"407","DM",2015 May,40,16,0.4
"408","DM",2015 Jun,37,14,0.378378378378378
"409","DM",2015 Jul,40,11,0.275
"410","DM",2015 Aug,37,5,0.135135135135135
"411","DM",2015 Sep,45,10,0.222222222222222
"412","DM",2015 Oct,51,11,0.215686274509804
"413","DM",2015 Nov,53,8,0.150943396226415
"414","DM",2016 Jan,20,2,0.1
"415","DM",2016 Feb,45,4,0.0888888888888889
"416","DM",2016 Mar,43,3,0.0697674418604651
"417","DM",2016 Apr,29,5,0.172413793103448
"418","DM",2016 May,54,10,0.185185185185185
"419","DM",2016 Jun,42,1,0.0238095238095238
"420","DM",2016 Jul,35,2,0.0571428571428571
"421","DM",2016 Aug,30,2,0.0666666666666667
"422","DM",2016 Sep,34,7,0.205882352941176
"423","DM",2016 Oct,34,6,0.176470588235294
"424","DM",2016 Nov,41,8,0.195121951219512
"425","DM",2016 Dec,22,8,0.363636363636364
"426","DM",2017 Jan,102,37,0.362745098039216
"427","DM",2017 Feb,51,9,0.176470588235294
"428","DM",2017 Mar,52,16,0.307692307692308
"429","DM",2017 Apr,53,12,0.226415094339623
"430","DM",2017 May,40,8,0.2
"431","DM",2017 Jun,31,4,0.129032258064516
"432","DM",2017 Jul,17,5,0.294117647058824
"433","DM",2017 Aug,29,7,0.241379310344828
"434","DM",2017 Sep,37,9,0.243243243243243
"435","DM",2017 Oct,36,5,0.138888888888889
"436","DM",2017 Nov,37,4,0.108108108108108
"437","DM",2017 Dec,18,2,0.111111111111111
"438","DM",2018 Jan,21,3,0.142857142857143
"439","DM",2018 Feb,24,4,0.166666666666667
"440","DM",2018 Mar,36,5,0.138888888888889
"441","DM",2018 Apr,42,7,0.166666666666667
"442","DM",2018 May,19,0,0
"443","DM",2018 Jun,31,6,0.193548387096774
"444","DM",2018 Jul,24,5,0.208333333333333
"445","DM",2018 Aug,21,2,0.0952380952380952
"446","DM",2018 Sep,21,6,0.285714285714286
"447","DM",2018 Oct,21,6,0.285714285714286
"448","DM",2018 Nov,23,3,0.130434782608696
"449","DM",2018 Dec,13,7,0.538461538461538
"450","DM",2019 Feb,19,6,0.315789473684211
"451","DM",2019 Mar,35,14,0.4
"452","DM",2019 Apr,27,9,0.333333333333333
"453","DM",2019 May,21,2,0.0952380952380952
"454","DM",2019 Jun,17,4,0.235294117647059
"455","DM",2019 Jul,13,0,0
"456","DM",2019 Aug,7,1,0.142857142857143
"457","DM",2019 Sep,29,6,0.206896551724138
"458","DM",2019 Oct,18,5,0.277777777777778
"459","DM",2019 Nov,22,6,0.272727272727273
"460","DM",2019 Dec,24,4,0.166666666666667
"461","DO",1978 Jan,1,0,0
"462","DO",1978 Mar,1,0,0
"463","DO",1978 Apr,1,0,0
"464","DO",1978 May,3,0,0
"465","DO",1978 Jun,4,0,0
"466","DO",1978 Jul,2,0,0
"467","DO",1978 Aug,1,0,0
"468","DO",1978 Sep,1,0,0
"469","DO",1978 Oct,2,0,0
"470","DO",1978 Nov,3,0,0
"471","DO",1978 Dec,2,0,0
"472","DO",1979 Jan,1,0,0
"473","DO",1979 Feb,2,0,0
"474","DO",1979 Mar,2,0,0
"475","DO",1979 Apr,1,0,0
"476","DO",1979 May,2,0,0
"477","DO",1979 Jul,2,0,0
"478","DO",1979 Aug,1,0,0
"479","DO",1979 Oct,5,0,0
"480","DO",1979 Nov,3,0,0
"481","DO",1980 Jan,5,0,0
"482","DO",1980 Feb,5,0,0
"483","DO",1980 Mar,1,0,0
"484","DO",1980 Apr,2,0,0
"485","DO",1980 May,3,0,0
"486","DO",1980 Jun,5,0,0
"487","DO",1980 Jul,5,0,0
"488","DO",1980 Aug,3,0,0
"489","DO",1980 Sep,1,0,0
"490","DO",1980 Oct,1,0,0
"491","DO",1980 Nov,4,0,0
"492","DO",1980 Dec,7,0,0
"493","DO",1981 Jan,8,0,0
"494","DO",1981 Feb,11,0,0
"495","DO",1981 Mar,3,0,0
"496","DO",1981 May,8,0,0
"497","DO",1981 Jun,9,0,0
"498","DO",1981 Jul,9,0,0
"499","DO",1981 Aug,4,0,0
"500","DO",1981 Oct,4,0,0
"501","DO",1981 Nov,2,0,0
"502","DO",1981 Dec,2,0,0
"503","DO",1982 Jan,7,0,0
"504","DO",1982 Feb,4,0,0
"505","DO",1982 Mar,6,0,0
"506","DO",1982 Apr,6,0,0
"507","DO",1982 May,6,0,0
"508","DO",1982 Jun,4,0,0
"509","DO",1982 Jul,5,0,0
"510","DO",1982 Aug,6,0,0
"511","DO",1982 Sep,5,0,0
"512","DO",1982 Nov,13,0,0
"513","DO",1983 Jan,14,0,0
"514","DO",1983 Feb,13,0,0
"515","DO",1983 Mar,11,0,0
"516","DO",1983 Apr,7,0,0
"517","DO",1983 May,3,0,0
"518","DO",1983 Jun,11,0,0
"519","DO",1983 Jul,7,0,0
"520","DO",1983 Aug,6,0,0
"521","DO",1983 Sep,12,0,0
"522","DO",1983 Oct,11,0,0
"523","DO",1983 Nov,13,0,0
"524","DO",1983 Dec,10,0,0
"525","DO",1984 Feb,9,0,0
"526","DO",1984 Mar,8,0,0
"527","DO",1984 Apr,4,0,0
"528","DO",1984 May,5,0,0
"529","DO",1984 Jul,7,0,0
"530","DO",1984 Aug,7,0,0
"531","DO",1984 Sep,6,0,0
"532","DO",1984 Oct,10,0,0
"533","DO",1984 Dec,9,0,0
"534","DO",1985 Jan,18,0,0
"535","DO",1985 Feb,10,0,0
"536","DO",1985 Mar,13,0,0
"537","DO",1985 May,7,0,0
"538","DO",1985 Jun,9,0,0
"539","DO",1985 Jul,8,0,0
"540","DO",1985 Aug,10,0,0
"541","DO",1985 Sep,8,0,0
"542","DO",1985 Oct,12,0,0
"543","DO",1985 Nov,8,0,0
"544","DO",1985 Dec,7,0,0
"545","DO",1986 Mar,9,0,0
"546","DO",1986 Apr,6,0,0
"547","DO",1986 May,3,0,0
"548","DO",1986 Jun,7,0,0
"549","DO",1986 Jul,8,0,0
"550","DO",1986 Aug,3,0,0
"551","DO",1986 Sep,3,0,0
"552","DO",1986 Oct,4,0,0
"553","DO",1986 Nov,9,0,0
"554","DO",1986 Dec,8,0,0
"555","DO",1987 Jan,1,0,0
"556","DO",1987 Feb,8,0,0
"557","DO",1987 Mar,12,0,0
"558","DO",1987 Apr,18,0,0
"559","DO",1987 May,9,0,0
"560","DO",1987 Jun,5,0,0
"561","DO",1987 Jul,14,0,0
"562","DO",1987 Aug,9,0,0
"563","DO",1987 Sep,8,0,0
"564","DO",1987 Oct,9,0,0
"565","DO",1987 Nov,10,0,0
"566","DO",1988 Jan,13,0,0
"567","DO",1988 Feb,16,0,0
"568","DO",1988 Mar,15,0,0
"569","DO",1988 Apr,11,0,0
"570","DO",1988 May,12,0,0
"571","DO",1988 Jun,10,0,0
"572","DO",1988 Jul,10,0,0
"573","DO",1988 Aug,11,0,0
"574","DO",1988 Sep,4,0,0
"575","DO",1988 Oct,5,0,0
"576","DO",1988 Nov,5,0,0
"577","DO",1988 Dec,9,0,0
"578","DO",1989 Jan,9,0,0
"579","DO",1989 Feb,13,0,0
"580","DO",1989 Mar,6,0,0
"581","DO",1989 Apr,6,0,0
"582","DO",1989 May,7,0,0
"583","DO",1989 Jun,6,0,0
"584","DO",1989 Jul,14,0,0
"585","DO",1989 Sep,12,0,0
"586","DO",1989 Oct,10,0,0
"587","DO",1989 Nov,15,0,0
"588","DO",1989 Dec,18,0,0
"589","DO",1990 Jan,31,0,0
"590","DO",1990 Feb,17,0,0
"591","DO",1990 Mar,17,0,0
"592","DO",1990 Apr,15,0,0
"593","DO",1990 May,12,0,0
"594","DO",1990 Jun,14,0,0
"595","DO",1990 Jul,11,0,0
"596","DO",1990 Aug,14,0,0
"597","DO",1990 Sep,9,0,0
"598","DO",1990 Oct,8,0,0
"599","DO",1990 Nov,10,0,0
"600","DO",1990 Dec,12,0,0
"601","DO",1991 Jan,13,0,0
"602","DO",1991 Feb,13,0,0
"603","DO",1991 Mar,14,0,0
"604","DO",1991 Apr,11,0,0
"605","DO",1991 May,10,0,0
"606","DO",1991 Jun,9,0,0
"607","DO",1991 Jul,7,0,0
"608","DO",1991 Aug,7,0,0
"609","DO",1991 Sep,8,0,0
"610","DO",1991 Oct,8,0,0
"611","DO",1991 Nov,7,0,0
"612","DO",1991 Dec,13,0,0
"613","DO",1992 Jan,10,0,0
"614","DO",1992 Feb,12,0,0
"615","DO",1992 Mar,11,0,0
"616","DO",1992 Apr,9,0,0
"617","DO",1992 May,9,0,0
"618","DO",1992 Jul,16,0,0
"619","DO",1992 Aug,8,0,0
"620","DO",1992 Sep,5,0,0
"621","DO",1992 Oct,5,0,0
"622","DO",1992 Dec,1,0,0
"623","DO",1993 Jan,3,0,0
"624","DO",1993 Feb,1,0,0
"625","DO",1993 Mar,2,0,0
"626","DO",1993 Apr,1,0,0
"627","DO",1993 May,5,5,1
"628","DO",1993 Jun,3,0,0
"629","DO",1993 Jul,1,1,1
"630","DO",1993 Aug,1,0,0
"631","DO",1993 Sep,2,0,0
"632","DO",1993 Oct,1,0,0
"633","DO",1993 Nov,2,1,0.5
"634","DO",1993 Dec,3,0,0
"635","DO",1994 Feb,1,0,0
"636","DO",1994 Mar,1,0,0
"637","DO",1994 Apr,2,0,0
"638","DO",1994 May,2,0,0
"639","DO",1994 Jun,2,1,0.5
"640","DO",1994 Jul,3,1,0.333333333333333
"641","DO",1994 Oct,4,2,0.5
"642","DO",1994 Nov,4,1,0.25
"643","DO",1994 Dec,6,2,0.333333333333333
"644","DO",1995 Jan,6,0,0
"645","DO",1995 Feb,6,1,0.166666666666667
"646","DO",1995 Mar,6,3,0.5
"647","DO",1995 Apr,11,6,0.545454545454545
"648","DO",1995 Jun,3,1,0.333333333333333
"649","DO",1995 Jul,5,2,0.4
"650","DO",1995 Aug,1,0,0
"651","DO",1995 Sep,4,2,0.5
"652","DO",1995 Oct,2,2,1
"653","DO",1995 Dec,10,4,0.4
"654","DO",1996 Jan,13,9,0.692307692307692
"655","DO",1996 Feb,12,5,0.416666666666667
"656","DO",1996 Mar,9,4,0.444444444444444
"657","DO",1996 Apr,17,7,0.411764705882353
